OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,BoroName,NTACode,NTAName,CounDist,Postcode,BoroCD,CT2010,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
8641,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-25 41 AVENUE,40.75572700000,-73.94458300000,999603.22617100000,214613.27456300000,Indoor AP - Community Center - Computer Rm,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26.00000000000,11101,401.00000000000,25.00000000000,4002500.00000000000,4433386.00000000000,4004700100.00000000000,4746,"{'longitude': '-73.944583', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755727'}"
8642,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-43 41 AVENUE,40.75533300000,-73.94413100000,999728.54383400000,214469.80700300000,Indoor AP - Queens Public Library,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26.00000000000,11101,401.00000000000,25.00000000000,4002500.00000000000,4433386.00000000000,4004700100.00000000000,4747,"{'longitude': '-73.944131', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755333'}"
8643,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-05 41 AVENUE,40.75575100000,-73.94516600000,999441.70123200000,214621.91693500000,Indoor AP - North Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26.00000000000,11101,401.00000000000,25.00000000000,4002500.00000000000,4433386.00000000000,4004700100.00000000000,4748,"{'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755751'}"
8644,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-05 41 AVENUE,40.75575100000,-73.94516600000,999441.70123200000,214621.91693500000,Indoor AP - North Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26.00000000000,11101,401.00000000000,25.00000000000,4002500.00000000000,4433386.00000000000,4004700100.00000000000,4749,"{'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755751'}"
8645,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-05 41 AVENUE,40.75575100000,-73.94516600000,999441.70123200000,214621.91693500000,Indoor AP - North Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26.00000000000,11101,401.00000000000,25.00000000000,4002500.00000000000,4433386.00000000000,4004700100.00000000000,4750,"{'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755751'}"
8646,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-05 41 AVENUE,40.75575100000,-73.94516600000,999441.70123200000,214621.91693500000,Indoor AP - North Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26.00000000000,11101,401.00000000000,25.00000000000,4002500.00000000000,4433386.00000000000,4004700100.00000000000,4751,"{'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755751'}"
8647,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-05 41 AVENUE,40.75575100000,-73.94516600000,999441.70123200000,214621.91693500000,Indoor AP - North Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26.00000000000,11101,401.00000000000,25.00000000000,4002500.00000000000,4433386.00000000000,4004700100.00000000000,4752,"{'longitude': '-73.945166', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755751'}"
8648,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-06 41 AVENUE,40.75529000000,-73.94563300000,999312.42360300000,214453.87888500000,Indoor AP - South Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26.00000000000,11101,401.00000000000,25.00000000000,4002500.00000000000,4433386.00000000000,4004700100.00000000000,4753,"{'longitude': '-73.945633', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.75529'}"
8649,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,10-06 41 AVENUE,40.75529000000,-73.94563300000,999312.42360300000,214453.87888500000,Indoor AP - South Management Office,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26.00000000000,11101,401.00000000000,25.00000000000,4002500.00000000000,4433386.00000000000,4004700100.00000000000,4754,"{'longitude': '-73.945633', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.75529'}"
8650,QU,Free,Spot On Networks,QUEENS BRIDGE - JACOB A. RIIS Settlement House,41-15 VERNON BLVD,40.75563600000,-73.94765700000,998751.59729700000,214579.59648100000,Indoor AP - South Maintenance Area,Free - Up to 25 mbs Wi-Fi Service,Queens,Quensbridge Connected,NYC HOUSING AUTHORITY,2018-05-01T00:00:00,4,Queens,QN68,Queensbridge-Ravenswood-Long Island City,26.00000000000,11101,401.00000000000,25.00000000000,4002500.00000000000,4433410.00000000000,4004650000.00000000000,4755,"{'longitude': '-73.947657', 'human_address': '{""address"":"""",""city"":""Queens"",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '40.755636'}"
